通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
教学运行,关于公布2025-2026学年各学院转专业实施细则的通知,2025-11-14,https://jwch.fzu.edu.cn/info/1036/14352.htm,2025-2026学年各学院转专业实施细则.pdf,3695,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732856
教学运行,关于做好2025-2026学年本科生转专业工作的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14278,None,None,None
教学通知,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1012/14194.htm,福州大学本科生转专业管理实施办法.docx,264,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630
教学运行,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2025-11-24,https://jwch.fzu.edu.cn/info/1036/14373.htm,2501高等数学A（上）、B（上）、C（上）、D半期考11.30上午.xlsx,420,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735966
计划科,关于组织申报2025-2026学年第二学期通识教育选修课的通知,2025-11-24,https://jwch.fzu.edu.cn/info/1038/14369.htm,None,None,None
教材中心,关于开展福州大学2022年本科规划教材立项项目结题验收工作的通知,2025-11-18,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14364,None,None,None
教材中心,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn/info/1042/14363.htm,None,None,None
教学通知,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn/info/1012/14362.htm,None,None,None
计划科,关于2025-2026学年第一学期在校学生申请辅修专业的通知,2025-11-17,https://jwch.fzu.edu.cn/info/1038/14361.htm,None,None,None
综合科,关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1035/14344.htm,None,None,None
教材中心,关于做好2025-2026学年第一学期本科课程实施与教材使用监测工作的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1042/14342.htm,附件1.关于开展2025-2026学年高校课程实施与教材使用监测工作的通知.pdf,40,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735375
质量办,关于公布福州大学2025年教师教学创新大赛—入围教学设计创新汇报名单的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1040/14341.htm,None,None,None
实践科,关于做好2025年本科生科研训练计划项目中期检查工作的通知,2025-11-10,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14321,None,None,None
实践科,关于做好大学生学科竞赛项目认定工作的通知,2025-11-05,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14316,None,None,None
教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,2025-10-30,https://jwch.fzu.edu.cn/info/1036/14284.htm,附件3：获得图像采集码途径.pdf,2553,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728635
教学运行,关于2025-2026学年第一学期《概率论与数理统计》课程半期考试安排的通知,2025-11-04,https://jwch.fzu.edu.cn/info/1036/14315.htm,2501概率论半期考11.16下午.xlsx,215,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16729972
教学运行,关于2025-2026学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14283.htm,2501大物A（下）、B（下）半期考11.9上午.xlsx,311,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728534
教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14281.htm,2501高等数学A（下）半期考11.2上午.xlsx,233,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728461
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14277,None,None,None
实践科,关于组织参加2026年美国大学生数学建模竞赛的通知,2025-10-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14274,None,None,None
