,通知人,标题,日期,详细链接,附件
0,教材中心,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn/info/1042/14363.htm,[]
1,教学运行,福州大学关于印发本科生转专业管理实施办法的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14277,[]
2,教学通知,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn/info/1012/14362.htm,[]
3,综合科,关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1035/14344.htm,[]
4,教学运行,关于做好2025-2026学年本科生转专业工作的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14278,[]
5,教学运行,关于组织2025级新生开展学籍信息自查工作的通知,2025-10-11,https://jwch.fzu.edu.cn//info/1036/14245.htm,[]
6,质量办,关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,2025-10-13,https://jwch.fzu.edu.cn//info/1040/14251.htm,[]
7,教学运行,关于2025年国庆节、中秋节放假课程调整的通知,2025-09-24,https://jwch.fzu.edu.cn//info/1036/14229.htm,[]
8,综合科,关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,2025-09-23,https://jwch.fzu.edu.cn//info/1035/14228.htm,[]
9,计划科,关于2025-2026学年第一学期在校学生申请辅修专业的通知,2025-11-17,https://jwch.fzu.edu.cn/info/1038/14361.htm,[]
10,计划科,关于组织申报2025-2026学年第二学期通识教育选修课的通知,2025-11-24,https://jwch.fzu.edu.cn/info/1038/14369.htm,[]
11,教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,2025-09-26,https://jwch.fzu.edu.cn//info/1036/14232.htm,[]
12,质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,2025-09-28,https://jwch.fzu.edu.cn//info/1040/14235.htm,[]
13,质量办,关于公布福州大学2025年教师教学创新大赛—入围教学设计创新汇报名单的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1040/14341.htm,[]
14,实践科,关于组织参加2026年美国大学生数学建模竞赛的通知,2025-10-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14274,[]
15,教学运行,关于2025-2026学年第一学期重新学习选课、缴费的通知,2025-09-22,https://jwch.fzu.edu.cn//info/1036/14224.htm,[]
