通知人,标题,日期,链接,附件数,附件下载次数
教学通知,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1012/14194.htm,2,"159,114"
教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,2025-10-30,https://jwch.fzu.edu.cn/info/1036/14284.htm,3,"125,274,202"
教学运行,关于2025-2026学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14283.htm,1,91
教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14281.htm,1,63
教学运行,关于做好2025-2026学年本科生转专业工作的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14278,0,0
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,2025-10-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14277,0,0
实践科,关于组织参加2026年美国大学生数学建模竞赛的通知,2025-10-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14274,0,0
质量办,关于为2025年新上岗教师配备导师的通知,2025-10-21,https://jwch.fzu.edu.cn/info/1040/14264.htm,1,415
质量办,关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,2025-10-13,https://jwch.fzu.edu.cn/info/1040/14251.htm,0,0
教学运行,关于组织2025级新生开展学籍信息自查工作的通知,2025-10-11,https://jwch.fzu.edu.cn/info/1036/14245.htm,0,0
质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,2025-09-28,https://jwch.fzu.edu.cn/info/1040/14235.htm,0,0
教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,2025-09-26,https://jwch.fzu.edu.cn/info/1036/14232.htm,0,0
教学运行,关于2025年国庆节、中秋节放假课程调整的通知,2025-09-24,https://jwch.fzu.edu.cn/info/1036/14229.htm,0,0
综合科,关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,2025-09-23,https://jwch.fzu.edu.cn/info/1035/14228.htm,0,0
实践科,关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,2025-09-23,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,3,"102,138,328"
教学运行,关于做好2025-2026学年第二学期排课准备工作的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1036/14225.htm,0,0
教学运行,关于2025-2026学年第一学期重新学习选课、缴费的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1036/14224.htm,0,0
计划科,关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,2025-09-22,https://jwch.fzu.edu.cn/info/1038/14223.htm,1,2498
